Time,GN07N_MAIN_POWER,GN07N_SUB_POWER,GN07N_TEMP,GN07N_HIGH_TEMP,GN07N_MID_TEMP,GN07N_LOW_TEMP,GN07N_OVER_TEMP,GN07N_GAS_NRG,GN07N_GAS_AMM,GN07N_GAS_CDO,GN07N_PPIT,GN05N_MAIN_POWER,GN05M_MAIN_POWER,GN05M_TEMP,GN05M_HIGH_TEMP,GN05M_LOW_TEMP,GN05M_OVER_TEMP,GN05M_GAS_NRG,GN05M_GAS_AMM,GN05M_GAS_CDO,GN04N_MAIN_POWER,GN04M_MAIN_POWER,GN04M_TEMP,GN04M_HIGH_TEMP,GN04M_MID_TEMP,GN04M_LOW_TEMP,GN04M_OVER_TEMP,GN04M_GAS_NRG,GN04M_GAS_AMM,GN04M_GAS_CDO,GN03N_MAIN_POWER,GN02N_MAIN_POWER,GN02N_TEMP,GN02N_HIGH_TEMP,GN02N_MID_TEMP,GN02N_LOW_TEMP,GN02N_OVER_TEMP,GN02N_GAS_NRG,GN02N_GAS_AMM,GN02N_GAS_CDO,GN02N_PPIT
2022-01-02_10:17:11,9649.72,298,19.8,490,491,491,498,0,73.2,0,1,1842.72,158,0,520,520,529,0,76.9,0,7094.79,0,0,40,41,40,37,0,0,0,6.8,158,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:12,9643.58,291,20.2,490,491,491,498,0,73.4,0,1,1841.47,158,0,520,520,529,0,76.9,0,7881.31,0,0,40,41,40,37,0,0,0,7.7,158,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:13,9552.26,297,19.9,490,490,491,498,0,73.4,0,1,1834.64,158,0,520,520,529,0,77,0,9473.86,0,0,40,41,40,37,0,0,0,6.7,158,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:14,9595.83,306,19.9,490,491,491,498,0,73.3,0,1,1842.91,157,0,520,520,529,0,77.1,0,7966.48,0,0,40,40,40,37,0,0,0,7.6,157,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:17:15,9647.37,298,19.9,490,491,491,498,0,73.5,0,1,1835.14,158,0,520,520,529,0,77.1,0,7417.94,0,0,40,41,40,37,0,0,0,7.7,158,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:17:17,9608.28,294,19.8,490,491,491,498,0,73.3,0,1,1841.86,158,0,520,520,529,0,77,0,7225.25,0,0,40,41,40,37,0,0,0,7.5,158,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:17,9734.75,297,20.2,490,491,491,498,0,73.5,0,1,1838.15,158,0,520,520,529,0,77,0,7426.68,0,0,40,41,40,37,0,0,0,6.4,158,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:18,9718.01,300,20.1,490,490,491,498,0,73.5,0,1,139.42,158,0,520,520,529,0,77,0,9027.43,0,0,40,41,40,37,0,0,0,5,158,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:19,9711.53,298,19.9,490,491,491,498,0,73.5,0,1,139.95,158,0,520,520,529,0,76.9,0,8908.1,0,0,40,41,40,37,0,0,0,6.6,158,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:20,9717.15,296,20,490,491,491,498,0,73.4,0,1,140.6,156,0,520,520,529,0,76.9,0,7301.24,0,0,40,41,40,37,0,0,0,6.2,156,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:21,9702.17,296,19.8,490,491,491,498,0,73.4,0,1,138.72,156,0,520,520,529,0,76.9,0,7212.29,0,0,40,41,40,37,0,0,0,6.5,156,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:22,9722.42,303,20.2,490,491,491,498,0,73.3,0,1,140.34,158,0,520,520,529,0,77,0,7467.36,0,0,40,41,40,37,0,0,0,6.8,158,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:23,9795.25,307,19.7,490,491,491,498,0,73.3,0,1,139.62,158,0,520,520,529,0,76.9,0,9091.85,0,0,40,41,40,37,0,0,0,6.6,158,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:24,9851.42,300,20.1,490,491,491,498,0,73.2,0,1,2120.7,158,0,520,520,529,0,77.1,0,9201.95,0,0,40,41,40,37,0,0,0,7.1,158,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:17:25,9685.29,296,20,490,491,491,498,0,73.2,0,1,2117.41,159,0,520,520,529,0,77.2,0,7554.44,0,0,40,40,40,37,0,0,0,7.1,159,0,520,521,520,529,0,77.2,0,2
2022-01-02_10:17:26,9702.45,298,19.9,490,491,491,498,0,73.3,0,1,2112.6,159,0,520,520,529,0,77,0,7119.08,0,0,40,41,40,37,0,0,0,6.8,159,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:27,9639.18,302,20.2,490,491,491,498,0,73.3,0,1,2111.47,159,0,520,520,529,0,77,0,7458.62,0,0,40,41,40,37,0,0,0,7,159,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:28,9721.29,304,19.9,490,491,491,498,0,73.4,0,1,2116.32,158,0,520,520,529,0,76.9,0,9118.23,0,0,40,40,40,37,0,0,0,6.3,158,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:29,9778.04,304,19.9,490,491,491,498,0,73.3,0,1,3449.17,158,0,520,520,529,0,76.9,0,9436.01,0,0,40,40,40,37,0,0,0,8.1,158,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:30,9807.41,309,20.1,490,491,491,498,0,73.5,0,1,3448.1,159,0,520,520,529,0,76.9,0,7731.42,0,0,40,40,40,37,0,0,0,6.4,159,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:31,9827.51,310,20,490,491,491,498,0,73.5,0,1,1479.46,159,0,520,520,529,0,76.9,0,7258.4,0,0,40,41,40,36,0,0,0,6.4,159,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:32,9776.39,303,20.2,490,491,491,498,0,73.4,0,1,1479.38,158,0,520,520,529,0,76.9,0,7493.23,0,0,40,41,40,37,0,0,0,5.6,158,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:33,9818.83,300,19.8,490,491,491,498,0,73.3,0,1,1482.84,156,0,520,520,529,0,76.9,0,9117.15,0,0,40,41,40,37,0,0,0,6,156,0,520,521,520,529,0,76.9,0,2
2022-01-02_10:17:34,9770.29,301,20.2,490,491,491,498,0,73.3,0,1,1480.36,158,0,520,520,529,0,77,0,9362.28,0,0,40,41,40,37,0,0,0,6.1,158,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:35,9749.14,300,19.8,490,491,491,498,0,73.3,0,1,1475.34,158,0,520,520,529,0,77.1,0,7468.63,0,0,40,41,40,37,0,0,0,6,158,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:17:36,9705.76,301,20.2,490,491,491,498,0,73.2,0,1,1470.53,158,0,520,520,529,0,77.2,0,7238.97,0,0,40,41,40,37,0,0,0,6.5,158,0,520,521,520,529,0,77.2,0,2
2022-01-02_10:17:37,9709.95,302,19.8,490,491,491,498,0,73.2,0,1,1470.34,159,0,520,520,529,0,77,0,7998.75,0,0,40,41,40,36,0,0,0,6.1,159,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:38,9766.85,298,19.9,490,491,491,498,0,73.3,0,1,1475.8,160,0,520,520,529,0,77,0,9579.28,0,0,40,41,40,37,0,0,0,6,160,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:39,9789.54,297,20,490,491,491,498,0,73.3,0,1,392.54,160,0,520,520,529,0,77.1,0,8073.3,0,0,40,41,40,37,0,0,0,5.5,160,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:17:40,9738.92,297,19.9,490,491,491,498,0,73.1,0,1,138.45,160,0,520,520,529,0,76.9,0,6894.54,0,0,40,40,40,37,0,0,0,5.9,160,0,520,522,520,529,0,76.9,0,2
2022-01-02_10:17:41,9699.6,298,20.1,490,491,491,498,0,73.2,0,1,138.5,161,0,520,520,529,0,77,0,7048.88,0,0,40,40,40,36,0,0,0,6.1,161,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:42,9667.28,298,19.8,490,490,491,498,0,73.4,0,1,138.51,163,0,520,520,529,0,76.9,0,8354.94,0,0,40,41,40,37,0,0,0,5.6,163,0,520,522,520,529,0,76.9,0,2
2022-01-02_10:17:43,9659.7,294,19.8,490,491,491,498,0,73.4,0,1,139.65,162,0,520,520,529,0,77.1,0,9545.34,0,0,40,41,40,37,0,0,0,5.3,162,0,520,521,520,529,0,77.1,0,2
2022-01-02_10:17:44,9655.16,294,20,490,491,491,498,0,73.3,0,1,139.96,160,0,520,520,529,0,77,0,7912.13,0,0,40,40,40,37,0,0,0,5.1,160,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:45,9694.45,297,19.9,490,491,491,498,0,73.3,0,1,137.87,158,0,520,520,529,0,77.1,0,6926.29,0,0,40,40,40,37,0,0,0,5.9,158,0,520,522,520,529,0,77.1,0,2
2022-01-02_10:17:46,9610.81,303,20.2,490,491,491,498,0,73.3,0,1,140.68,157,0,520,520,529,0,77.1,0,7099.75,0,0,40,40,40,36,0,0,0,5,157,0,520,522,520,529,0,77.1,0,2
2022-01-02_10:17:47,9577.19,304,19.8,490,491,491,498,0,73.3,0,1,139.22,157,0,520,520,529,0,77,0,8678.97,0,0,40,41,40,36,0,0,0,5.7,157,0,520,522,520,529,0,77,0,2
